code,sector
5095,IND
7803,IND
0161,IND
5151,IND
3298,IND
0160,IND
0175,IND
5072,IND
7033,IND
8443,IND
0188,IND
5291,IND
0228,IND
0185,IND
5000,IND
9601,IND
0376,IND
0366,IND
7222,IND
5178,IND
0390,IND
0024,IND
6874,IND
8648,IND
0058,IND
9083,IND
7096,IND
5673,IND
0292,IND
0054,IND
0392,IND
7199,IND
0307,IND
6491,IND
0151,IND
6211,IND
5371,IND
0193,IND
0293,IND
9466,IND
5035,IND
6971,IND
7017,IND
5843,IND
9121,IND
3476,IND
8362,IND
0268,IND
9326,IND
5284,IND
0266,IND
5232,IND
7170,IND
4235,IND
8486,IND
9881,IND
5068,IND
5143,IND
9199,IND
5098,IND
7029,IND
7123,IND
7099,IND
5152,IND
7004,IND
0167,IND
5327,IND
3778,IND
0207,IND
6149,IND
0177,IND
5001,IND
5576,IND
0350,IND
5916,IND
0213,IND
0295,IND
0043,IND
3883,IND
5087,IND
7692,IND
0270,IND
0325,IND
7241,IND
5265,IND
0389,IND
7140,IND
5065,IND
0368,IND
7225,IND
8419,IND
5125,IND
2682,IND
5183,IND
5271,IND
0233,IND
5436,IND
5219,IND
8117,IND
5331,IND
3611,IND
7201,IND
7095,IND
7163,IND
0289,IND
7172,IND
8869,IND
0361,IND
0379,IND
6637,IND
0381,IND
0377,IND
8273,IND
9873,IND
0383,IND
0217,IND
0196,IND
7544,IND
7498,IND
0081,IND
7232,IND
9954,IND
9741,IND
8745,IND
5134,IND
0346,IND
9822,IND
0223,IND
5147,IND
0133,IND
7811,IND
0225,IND
7247,IND
9237,IND
0099,IND
4731,IND
7239,IND
0001,IND
0028,IND
0321,IND
5163,IND
5308,IND
0055,IND
0337,IND
0251,IND
7115,IND
7155,IND
7248,IND
0215,IND
7132,IND
5665,IND
6904,IND
7207,IND
0459,IND
0349,IND
0262,IND
5211,IND
7235,IND
0211,IND
7097,IND
2739,IND
8702,IND
0089,IND
7034,IND
7374,IND
7854,IND
5330,IND
7285,IND
5010,IND
0302,IND
7173,IND
0297,IND
5167,IND
7100,IND
7133,IND
7137,IND
7227,IND
7091,IND
0257,IND
0247,IND
0310,IND
7165,IND
4995,IND
0232,IND
6963,IND
0102,IND
7226,IND
8176,IND
7231,IND
0353,IND
7050,IND
7025,IND
0352,IND
5009,IND
7043,IND
5048,IND
0025,IND
0248,IND
7014,IND
0301,IND
7054,PLT
1899,PLT
5069,PLT
8982,PLT
1929,PLT
3948,PLT
5029,PLT
2291,PLT
7382,PLT
